ORF,As,Ca,Cd,Cl, Co,Cu,Fe, K,Mg,Mn,Mo,Na,Ni,P,S,Se,Zn
YGL038C,-0.390554001,-0.17531504,-2.523703636,0.896919262,-6.747024283,2.720374108,2.1959481,-1.202346068,-2.154210822,-2.499449034,3.966511438,0.847205509,-1.69271615,0.745062172,0.690571884,-1.253324352,1.530624222
YGL039W,0.202377349,-0.58536595,0.25987114,-0.391073174,0.159301227,1.072114099,-0.383246159,0.496774413,0.345186846,-1.141962271,-0.8908223,-0.576460535,-0.086596195,0.834406174,0.360104082,0.122701772,-0.171280886
YGL042C,0.064681135,0.210558719,0.142032195,-0.475222153,0.389401657,-0.155428681,-0.43684829,-0.604393212,0.225894751,0.301636774,0.176071957,0.31815221,0.083279841,0.019442935,-0.054086155,-0.391946373,0.213523257
YGL043W,0.743935596,0.353773923,-0.383820574,0.236123921,2.156482337,-0.797887074,0.577595822,2.272385562,1.829119253,0.387710823,0.943213723,0.89623888,0.913987822,3.528109616,0.968293261,0.563958185,0.478300251
YGL044C,-0.236255218,-0.162300006,-0.428896695,0.185043734,-0.276798567,-1.29569245,0.526312042,-0.027650272,-0.500712557,0.680201226,-0.620482401,-0.034873312,-0.35969677,-0.569474686,-0.913947776,-0.06970902,0.336867304
YGL045W,-0.512361441,-0.506293259,-0.388807249,-0.483200474,-0.292678577,-0.89145119,-0.111924119,0.031799527,0.181451253,0.231291315,-0.819116052,0.323965022,-0.003999318,-0.35967045,0.187980249,-0.176388743,-0.057480117
YGL046W,-0.969912243,-0.660765419,-0.186720589,-0.278139945,-0.105455801,-0.863808054,-0.586130152,-0.275452683,-0.408335619,-0.904197206,0.169048132,-0.509162715,-0.352155655,-0.356033587,-0.402163514,-0.562833654,-0.546951879
YGL047W,-0.044679596,0.006565167,0.214786526,0.119521356,0.12169443,-0.484603955,-0.500911286,-0.268690823,0.167244826,-0.096614391,-0.525841499,0.114461767,0.106862642,0.007886405,0.066493687,0.689718936,-0.17748679
YGL048C,0.666444505,-0.751085589,0.717809586,-1.264377418,0.912542103,-0.147944003,-0.699672958,0.458735332,0.552432177,-0.36712461,0.106798633,0.266067413,0.457638677,0.746731531,-0.526304534,0.546158727,-0.422401859
YGL049C,-1.269870265,-0.003285301,-0.224846891,0.460437277,-5.591777229,-1.334248438,2.691057348,-1.881587743,-0.575687816,-4.880631003,1.503980028,-0.270884443,2.362602427,-0.016707977,-3.172970843,-1.924454683,3.382129502
YGL050W,0.109357839,-0.03601913,1.595523633,0.134137755,1.038635325,-1.706647561,0.989050399,1.970952623,2.66966184,0.814837751,0.272017948,0.540080823,0.941290237,2.369633706,1.447454582,0.502613648,0.836090039
YGL051W,-0.190735706,-0.507686018,-1.986068524,0.094124954,-2.567613307,0.008953239,-0.071023887,0.204956682,-1.865876594,-0.420388329,-0.044018801,-0.102112385,-0.650437935,0.499437498,0.473841956,-0.00503734,0.881714216
YGL052W,-1.027367846,0.21755806,-4.133576022,-0.301028542,-7.328097762,1.571578883,0.188211192,-1.170418436,-4.002789195,-4.303466119,1.717661243,2.088465749,-1.728927419,-1.360929254,-0.87992476,-1.064782598,0.209201621
YGL053W,0.93920312,0.346760672,0.494576856,-0.030463915,0.026626656,0.074517185,0.53333673,0.173817048,0.352940542,-0.07721497,0.457939327,0.194142675,0.118085929,0.887900457,0.120290111,1.533185957,0.368321855
YGL055W,0.557322448,-0.807623366,1.358052409,-0.14618016,1.19099342,3.188324756,1.260760102,0.263636401,2.566829628,-0.037482648,0.368106646,0.259644803,0.638109957,0.911068799,0.047312051,-0.627232776,-1.141689294
YGL057C,1.21464147,0.665377949,1.114075955,0.556918872,0.329219643,0.531908692,-0.432014063,1.182664098,0.958045208,0.656005947,-0.303719569,0.286885575,1.683950971,1.08722645,1.571937081,-0.656456335,1.397878418
YGL058W,-0.132503162,-0.281548013,-0.195184794,-0.070552644,-0.153116756,-0.016513767,0.397666928,0.108001802,-0.175405084,-0.00845685,-0.37817592,0.004392112,0.541103795,-0.022352341,0.542013706,-0.643758894,-0.307727712
YGL060W,0.793477114,-0.16877166,-0.255550827,0.23657531,-0.067976054,-0.655271603,0.623157218,-0.597348635,-0.358076636,-0.037438115,-0.01331318,-0.039650669,0.221199738,-0.37835466,0.159167226,-0.396323396,-0.085017958
YGL061C,-0.715926237,-0.36859207,-0.340209483,-0.842200459,0.990047722,-1.952856346,-0.226671072,-1.065206157,0.16334581,-0.848409578,-0.072346926,0.009232452,-0.08176925,-0.81416558,-0.997372608,0.574589911,-0.784050739
YGL062W,1.072826323,-0.386160322,-0.972515381,0.741744369,-1.375631015,0.168419054,0.995520374,-0.181373909,-1.558424976,-1.154752613,0.891709188,0.250917198,-0.706629387,0.815767272,0.42349924,-0.189705132,1.054052179
YGL063C-A,-0.054482456,2.128792,-0.857749168,0.247109559,-0.160031248,-0.837565272,-0.162174007,-1.021506014,-1.048162362,-1.057319349,-0.241315061,0.600101942,-0.821063999,-1.788769382,-0.840942505,-1.137076145,-1.045021706
