ORF,Ca,Cd,Co,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,S,Zn
YJR059W,0.379515186,-1.434354639,-0.613305117,-0.093555855,-0.190307558,-4.261027708,-1.006284984,-1.719155014,1.072266871,0.526326711,-0.439905901,-0.052287614,0.402910577,0.502297526
YJR060W,-0.188243445,-1.965714563,-1.937382161,-0.254669678,0.334765299,-1.613558758,0.783421732,-1.644934297,-0.040344633,-0.593397902,-0.361725978,0.156225881,-0.082153556,0.000267536
YJR061W,0.083592736,0.701289109,0.762281582,0.216929482,-0.20689108,-0.578400243,-0.225461712,-0.665730562,-0.381259878,0.684773996,0.422360047,0.542067598,-0.283549937,0.364474479
YJR062C,0.665303581,0.784887551,0.356097031,-0.099874519,0.35679146,-0.732907173,0.169118853,-0.813215176,-1.479457663,-0.317299096,0.489236225,0.639389892,0.460541623,0.626548811
YJR063W,0.9012849,0.16571439,-0.026729313,0.158948318,-0.0055904,0.411286048,-0.125689517,0.009105814,0.463962375,-0.274160813,-0.411357235,0.16969016,-0.370931895,0.232785559
YJR066W,-0.914506181,-1.004446258,-0.896226613,-0.805923238,-0.319615719,0.606710281,-0.80173972,-0.275680804,-0.738784476,0.829279959,-1.132293115,-0.879380679,-1.332037012,-0.910816482
YJR069C,-0.499859258,-0.049281153,0.088540605,0.106818674,-0.21309547,0.163352263,-0.189914847,0.152400627,-0.313010142,0.206751283,-0.083939594,0.071466378,-0.113135094,-0.083138752
YJR070C,0.480024372,0.205692039,0.272979956,0.544534303,0.056567568,0.080147493,0.76512137,0.158439201,-0.119857294,0.031642923,-0.018123053,1.123525126,0.024667298,0.463400575
YJR073C,-0.487531647,-0.233493488,-3.598239049,0.593559396,0.208101814,0.574374631,-3.136996,-3.391522807,-1.786109253,-1.402264319,-2.802008601,-3.241269281,0.292191891,1.702942417
YJR074W,-0.584869262,0.841410167,0.612352686,0.648600609,-0.209161206,0.505473663,1.464983219,-1.058837553,0.523506554,0.621569313,0.225447847,1.254197097,0.576648957,0.5474594
YJR075W,0.198201477,-1.69655893,-0.492135398,0.812926996,-0.247272107,0.914830769,0.24540654,0.548855663,-0.497544685,1.322709029,-0.386570212,1.142413982,1.468322442,1.12944299
YJR077C,-0.730769087,0.378467537,0.336121889,-0.063753806,0.935635091,-1.534907735,0.272542787,-2.171234492,-1.386291821,-0.986919402,0.566578078,-0.320842438,-0.609165069,-0.162896586
YJR078W,-0.013640506,0.242681369,0.367180657,0.23109737,-0.710019463,0.583038788,0.12176616,-0.100390399,1.229696907,-0.919514061,0.13534182,-0.028055394,-0.024164876,0.055330249
YJR079W,0.096719466,-0.44404256,0.10101154,0.071968956,-0.253033795,-0.048603617,0.359081981,-0.377175633,-0.494173791,0.185763233,-0.05452907,-0.010689866,0.166812619,0.743266955
