"ORF","term"
"YMR214W","unspecific"
"YMR231W","unspecific"
"YMR247C","unspecific"
"YMR262W","unspecific"
"YMR300C","unspecific"
"YNL001W","unspecific"
"YNL008C","unspecific"
"YNL023C","unspecific"
"YNL027W","unspecific"
"YNL040W","unspecific"
"YNL054W-B","unspecific"
"YNL064C","unspecific"
"YNL072W","unspecific"
"YNL077W","unspecific"
"YNL088W","unspecific"
"YNL097C","unspecific"
"YNL111C","unspecific"
"YNL116W","unspecific"
"YNL129W","unspecific"
"YNL130C","unspecific"
"YNL141W","unspecific"
"YNL168C","unspecific"
"YNL200C","unspecific"
"YNL204C","unspecific"
"YNL207W","unspecific"
"YNL218W","unspecific"
"YNL220W","unspecific"
"YNL227C","unspecific"
"YNL238W","unspecific"
"YNL247W","unspecific"
"YNL250W","unspecific"
"YNL256W","unspecific"
"YNL284C-B","unspecific"
"YNL299W","unspecific"
"YNR006W","unspecific"
"YNR016C","unspecific"
"YNR020C","unspecific"
"YNR027W","unspecific"
"YNR032W","unspecific"
"YNR052C","unspecific"
"YNR060W","unspecific"
"YOL013C","unspecific"
"YOL049W","unspecific"
"YOL054W","unspecific"
"YOL057W","unspecific"
"YOL064C","unspecific"
"YOL066C","unspecific"
"YOL098C","unspecific"
"YOL103W-B","unspecific"
"YOL115W","unspecific"
"YOL122C","unspecific"
"YOL125W","unspecific"
"YOL133W","unspecific"
"YOL138C","unspecific"
"YOL152W","unspecific"
"YOL153C","unspecific"
"YOL164W","unspecific"
"YOR005C","unspecific"
"YOR020C","unspecific"
"YOR022C","unspecific"
"YOR025W","unspecific"
"YOR033C","unspecific"
"YOR040W","unspecific"
"YOR056C","unspecific"
"YOR064C","unspecific"
"YOR065W","unspecific"
"YOR086C","unspecific"
"YOR090C","unspecific"
"YOR091W","unspecific"
"YOR113W","unspecific"
"YOR116C","unspecific"
"YOR119C","unspecific"
"YOR125C","unspecific"
"YOR127W","unspecific"
"YOR128C","unspecific"
"YOR142W-B","unspecific"
"YOR151C","unspecific"
"YOR163W","unspecific"
"YOR191W","unspecific"
"YOR192C-B","unspecific"
"YOR207C","unspecific"
"YOR241W","unspecific"
"YOR256C","unspecific"
"YOR258W","unspecific"
"YOR274W","unspecific"
"YOR291W","unspecific"
"YOR335C","unspecific"
"YOR343W-B","unspecific"
"YOR346W","unspecific"
"YOR347C","unspecific"
"YOR360C","unspecific"
"YOR381W","unspecific"
"YOR384W","unspecific"
"YPL016W","unspecific"
"YPL028W","unspecific"
"YPL036W","unspecific"
"YPL038W","unspecific"
"YPL042C","unspecific"
"YPL047W","unspecific"
"YPL054W","unspecific"
"YPL060C-A","unspecific"
"YPL069C","unspecific"
"YPL096W","unspecific"
"YPL117C","unspecific"
"YPL138C","unspecific"
"YPL179W","unspecific"
"YPL181W","unspecific"
"YPL214C","unspecific"
"YPL230W","unspecific"
"YPL237W","unspecific"
"YPL257W-B","unspecific"
"YPL273W","unspecific"
"YPR010C","unspecific"
"YPR013C","unspecific"
"YPR015C","unspecific"
"YPR024W","unspecific"
"YPR031W","unspecific"
"YPR043W","unspecific"
"YPR056W","unspecific"
"YPR062W","unspecific"
"YPR074C","unspecific"
"YPR086W","unspecific"
"YPR093C","unspecific"
"YPR107C","unspecific"
"YPR122W","unspecific"
"YPR137C-B","unspecific"
"YPR158C-D","unspecific"
"YPR158W-B","unspecific"
"YPR176C","unspecific"
"YPR186C","unspecific"
"YGL255W","Zn"
"YLR130C","Zn"
"YHR175W","Cu"
"YLR411W","Cu"
"YMR319C","Cu"
"YPR124W","Cu"
"YBR207W","Fe"
"YER145C","Fe"
"YFL041W","Fe"
"YJL133W","Fe"
"YKR052C","Fe"
"YLR220W","Fe"
"YMR058W","Fe"
"YMR319C","Fe"
"YGL167C","Mn"
"YLR220W","Mn"
"YML123C","Mn"
"YOR079C","Mn"
"YDR205W","Zn"
"YIL023C","Zn"
"YKL175W","Zn"
"YMR243C","Zn"
"YNR039C","Zn"
"YOR079C","Zn"
"YOR316C","Zn"
"YBR295W","Ca"
"YEL031W","Ca"
"YGL006W","Ca"
"YOR291W","Ca"
"YDR038C","Na"
"YDR039C","Na"
"YDR040C","Na"
"YDR039C","K"
"YDR040C","K"
"YBR235W","K"
"YDL128W","K"
"YDR456W","K"
"YJL093C","K"
"YJL094C","K"
"YJL129C","K"
"YJR054W","K"
"YKR050W","K"
"YLR138W","K"
"YML047C","K"
"YNL321W","K"
"YOR087W","K"
"YBR296C","Na"
"YDR456W","Na"
"YLR138W","Na"
"YNL321W","Na"
"YOR087W","Na"
"YBR187W","Ca"
"YDL128W","Ca"
"YNL291C","Ca"
"YNL321W","Ca"
"YOR087W","Ca"
"YFL050C","Mg"
"YKL064W","Mg"
"YMR166C","Mg"
"YOL130W","Mg"
"YOR334W","Mg"
"YPL060W","Mg"
"YEL065W","Fe"
"YHL040C","Fe"
"YHL047C","Fe"
"YKR106W","Fe"
"YOL158C","Fe"
"MAL21","unspecific"
"MAL41","unspecific"
"MAL61","unspecific"
"Q0045","unspecific"
"Q0055","unspecific"
"Q0060","unspecific"
"Q0065","unspecific"
"Q0070","unspecific"
"Q0080","unspecific"
"Q0085","unspecific"
"Q0130","unspecific"
"Q0250","unspecific"
"Q0275","unspecific"
"YBL099W","unspecific"
"YBR039W","unspecific"
"YBR127C","unspecific"
"YBR219C","unspecific"
"YBR220C","unspecific"
"YBR298C","unspecific"
"YCL005W-A","unspecific"
"YCL073C","unspecific"
"YCR010C","unspecific"
"YDL004W","unspecific"
"YDL067C","unspecific"
"YDL138W","unspecific"
"YDL185W","unspecific"
"YDL194W","unspecific"
"YDL199C","unspecific"
"YDL210W","unspecific"
"YDL245C","unspecific"
"YDL247W","unspecific"
"YDR298C","unspecific"
"YDR322C-A","unspecific"
"YDR342C","unspecific"
"YDR343C","unspecific"
"YDR345C","unspecific"
"YDR377W","unspecific"
"YDR384C","unspecific"
"YDR387C","unspecific"
"YDR497C","unspecific"
"YDR536W","unspecific"
"YEL027W","unspecific"
"YEL051W","unspecific"
"YEL069C","unspecific"
"YER141W","unspecific"
"YFL011W","unspecific"
"YFL040W","unspecific"
"YGL187C","unspecific"
"YGL191W","unspecific"
"YGL226W","unspecific"
"YGR020C","unspecific"
"YGR121C","unspecific"
"YGR289C","unspecific"
"YHR026W","unspecific"
"YHR039C-A","unspecific"
"YHR092C","unspecific"
"YHR094C","unspecific"
"YHR096C","unspecific"
"YIL111W","unspecific"
"YIL170W","unspecific"
"YIR028W","unspecific"
"YJL214W","unspecific"
"YJL219W","unspecific"
"YJR121W","unspecific"
"YJR158W","unspecific"
"YJR160C","unspecific"
"YKL016C","unspecific"
"YKL080W","unspecific"
"YKL217W","unspecific"
"YLR038C","unspecific"
"YLR081W","unspecific"
"YLR295C","unspecific"
"YLR395C","unspecific"
"YLR447C","unspecific"
"YML081C-A","unspecific"
"YMR011W","unspecific"
"YMR054W","unspecific"
"YMR256C","unspecific"
"YNL052W","unspecific"
"YNL142W","unspecific"
"YNL318C","unspecific"
"YNR002C","unspecific"
"YNR072W","unspecific"
"YOL077W-A","unspecific"
"YOL103W","unspecific"
"YOL156W","unspecific"
"YOR270C","unspecific"
"YOR332W","unspecific"
"YOR378W","unspecific"
"YPL078C","unspecific"
"YPL234C","unspecific"
"YPL271W","unspecific"
"YPR020W","unspecific"
"YPR036W","unspecific"
"YPR138C","unspecific"
"YBR021W","unspecific"
"YDR270W","unspecific"
"YLL015W","unspecific"
"YLR241W","unspecific"
"YNR055C","unspecific"
