"BioSpecID","element_perturbed","rel_element_concentration_actual","element_measured","ng_perwell_BC","mean_ng_perwell_BC_AE","Ratio_to_AEngperwell"
"Cu 0.5","Cu",0.582,"Fe",58.9655200806075,55.1736462622607,1.06872617771758
"Cu 0.2","Cu",0.237,"Fe",66.2781071189468,55.1736462622607,1.20126385709406
"Ca 0.02","Ca",0.024,"Fe",49.6655672826783,55.1736462622607,0.900168298585878
"Fe 0.5","Fe",0.65,"Fe",31.1945665397606,55.1736462622607,0.565388888591508
"Mg 2","Mg",1.79,"Fe",58.1918322370359,55.1736462622607,1.05470339880074
"Fe 50","Fe",56.327,"Fe",82.1617227726505,55.1736462622607,1.48914795991741
"Zn 0.5","Zn",0.491,"Fe",50.4033411328573,55.1736462622607,0.913540150913202
"Fe 20","Fe",23.594,"Fe",67.5684350571726,55.1736462622607,1.22465052855117
"Ca 0.1","Ca",0.115,"Fe",63.1487407950034,55.1736462622607,1.14454535947895
"Mo 0.05","Mo",0.062,"Fe",47.7753566935457,55.1736462622607,0.865908996959378
"Zn 0.1","Zn",0.122,"Fe",78.4947322916943,55.1736462622607,1.42268524212773
"Cu 0.05","Cu",0.074,"Fe",63.9992166015734,55.1736462622607,1.1599598891355
"Na 2","Na",1.882,"Fe",77.5087891819078,55.1736462622607,1.40481542244788
"Na 5","Na",4.414,"Fe",76.5624023155546,55.1736462622607,1.38766254366487
"Cu 2","Cu",2.269,"Fe",54.5288708116801,55.1736462622607,0.988313706012545
"Cu 20","Cu",22.122,"Fe",44.9305328936913,55.1736462622607,0.81434771738884
"Ca 0.01","Ca",0.012,"Fe",59.4338931472723,55.1736462622607,1.07721524991771
"Na 10","Na",8.783,"Fe",57.2288739726973,55.1736462622607,1.03725017013861
"Ca 0.1","Ca",0.115,"Fe",62.1189177720642,55.1736462622607,1.12588023413914
"Na 0.02","Na",0.041,"Fe",79.5331312999961,55.1736462622607,1.44150580373002
"Ca 0.5","Ca",0.53,"Fe",54.8836477636059,55.1736462622607,0.994743894625409
"K 5","K",5.208,"Fe",80.5702731130239,55.1736462622607,1.46030357917698
"Mg 2","Mg",1.79,"Fe",58.828477827088,55.1736462622607,1.0662423423577
"Mo 0","Mo",0.044,"Fe",50.1348258614781,55.1736462622607,0.908673420334932
"Ca 2","Ca",2.207,"Fe",56.6371089728552,55.1736462622607,1.02652466910811
"Cu 0.2","Cu",0.237,"Fe",62.7976193414159,55.1736462622607,1.13818142529344
"Ca 2","Ca",2.207,"Fe",53.1493798949539,55.1736462622607,0.963310991670103
"Fe 0.5","Fe",0.65,"Fe",37.4569759787445,55.1736462622607,0.678892524171734
"Cu 0.1","Cu",0.125,"Fe",72.2327371034337,55.1736462622607,1.30918911467415
"Mo 0.01","Mo",0.046,"Fe",50.3673470570033,55.1736462622607,0.912887772861497
"Ca 5","Ca",5.658,"Fe",52.9221120850704,55.1736462622607,0.959191854631322
"Na 0.2","Na",0.182,"Fe",42.0897676797888,55.1736462622607,0.762859998045454
"Na 0.05","Na",0.054,"Fe",78.0067853804964,55.1736462622607,1.41384140192043
"Na 0.5","Na",0.439,"Fe",79.7140517912881,55.1736462622607,1.44478491438426
"Zn 0.05","Zn",0.075,"Fe",98.7867734627406,55.1736462622607,1.79047027258577
"Mn 50","Mn",50.166,"Fe",44.0499102970212,55.1736462622607,0.79838678936744
"Zn 0.010","Zn",0.036,"Fe",176.82020322288,55.1736462622607,3.20479459309954
"Fe 50","Fe",56.327,"Fe",81.0705639354092,55.1736462622607,1.4693711477768
"Mg 5","Mg",4.514,"Fe",65.3797906203795,55.1736462622607,1.18498223426462
"Ca 0.01","Ca",0.012,"Fe",54.24287294808,55.1736462622607,0.983130110528559
"Ca 0.05","Ca",0.058,"Fe",47.4773997457671,55.1736462622607,0.860508647916607
"Fe 50","Fe",56.327,"Fe",82.9362288647082,55.1736462622607,1.50318556925677
"Mn 0.2","Mn",0.223,"Fe",45.4300695929542,55.1736462622607,0.823401617812393
"Fe 2","Fe",2.348,"Fe",49.5447661029398,55.1736462622607,0.897978826112655
