"BioSpecID","element_perturbed","rel_element_concentration_actual","element_measured","ng_perwell_BC","mean_ng_perwell_BC_AE","Ratio_to_AEngperwell"
"K 5","K",5.208,"Fe",80.5702731130239,55.1736462622607,1.46030357917698
"Mn 0.01","Mn",0.035,"Fe",48.11092963141,55.1736462622607,0.871991120592629
"Mn 0.5","Mn",0.542,"Fe",45.6211489289901,55.1736462622607,0.826864853414544
"Mo 0.02","Mo",0.021,"Fe",48.2010891099429,55.1736462622607,0.873625224637599
"Cu 0.2","Cu",0.237,"Fe",66.2781071189468,55.1736462622607,1.20126385709406
"Mn 5","Mn",4.913,"Fe",50.6979781294186,55.1736462622607,0.91888032718433
"Ca 0.01","Ca",0.012,"Fe",48.4891036721363,55.1736462622607,0.878845371967073
"Fe 0.1","Fe",0.215,"Fe",20.4151151622975,55.1736462622607,0.370015696719716
"Ca 0.02","Ca",0.024,"Fe",47.8800572417921,55.1736462622607,0.86780665200557
"Fe 5","Fe",5.199,"Fe",57.2766565035863,55.1736462622607,1.03811620916495
"Fe 0","Fe",0.118,"Fe",15.7629537488419,55.1736462622607,0.285697154650877
"Na 2","Na",1.882,"Fe",57.5138582437282,55.1736462622607,1.04241539466766
"Na 0.5","Na",0.439,"Fe",79.7140517912881,55.1736462622607,1.44478491438426
"Fe 0.02","Fe",0.159,"Fe",16.4126690030623,55.1736462622607,0.297472980579294
"Mn 0.1","Mn",0.137,"Fe",42.9026509673291,55.1736462622607,0.777593178514919
"Zn 0.01","Zn",0.049,"Fe",119.190661724914,55.1736462622607,2.16028248628624
"Cu 0.5","Cu",0.582,"Fe",61.5324268749539,55.1736462622607,1.1152503240853
"Ca 0.5","Ca",0.53,"Fe",52.3816055763808,55.1736462622607,0.949395392999616
"Mn 5","Mn",4.913,"Fe",50.3912551309643,55.1736462622607,0.913321097022228
"Mn 0.5","Mn",0.542,"Fe",44.7749293711556,55.1736462622607,0.811527466543064
"Zn 5","Zn",6.002,"Fe",64.0244998952364,55.1736462622607,1.16041813859654
"Na 0.2","Na",0.182,"Fe",89.0381561772356,55.1736462622607,1.61378053127039
"Cu 0.05","Cu",0.074,"Fe",63.9992166015734,55.1736462622607,1.1599598891355
"Fe 50","Fe",56.327,"Fe",82.9362288647082,55.1736462622607,1.50318556925677
"Mn 0","Mn",0.007,"Fe",51.5003724343315,55.1736462622607,0.933423399090413
"Mo 5","Mo",5.931,"Fe",46.8657959548393,55.1736462622607,0.849423576829939
"Mg 0.5","Mg",0.457,"Fe",56.4322035361538,55.1736462622607,1.02281084102926
"Ca 0.01","Ca",0.012,"Fe",59.4338931472723,55.1736462622607,1.07721524991771
"Cu 0.01","Cu",0.022,"Fe",56.4906830930993,55.1736462622607,1.02387075932191
"Fe 0.2","Fe",0.317,"Fe",25.4009310365511,55.1736462622607,0.460381590801722
"Zn 0.5","Zn",0.491,"Fe",48.3341848669061,55.1736462622607,0.876037531345234
"Mn 2","Mn",2.077,"Fe",53.0517124101484,55.1736462622607,0.961540808051257
"Cu 10","Cu",11.197,"Fe",43.3294608152598,55.1736462622607,0.785328934203458
"Ca 0.05","Ca",0.058,"Fe",51.7608170224807,55.1736462622607,0.938143851802769
"Fe 20","Fe",23.594,"Fe",67.5684350571726,55.1736462622607,1.22465052855117
"Ca 2","Ca",2.207,"Fe",76.6674720915867,55.1736462622607,1.38956689081519
"Cu 5","Cu",5.662,"Fe",41.7796591153579,55.1736462622607,0.757239405870762
"Fe 0.1","Fe",0.215,"Fe",22.0972833074034,55.1736462622607,0.400504313279692
"Zn 0.5","Zn",0.491,"Fe",50.4033411328573,55.1736462622607,0.913540150913202
