Cluster,ORF,Gene,Ag_10uM_Fold Change,Ag_10uM_P-value,Ag_20uM_Fold Change,Ag_20uM_P-value,As_400uM_Fold Change,As_400uM_P-value,As_1250uM_Fold Change,As_1250uM_P-value,Cd_5uM_Fold Change,Cd_5uM_P-value,Cd_25uM_Fold Change,Cd_25uM_P-value,Cr_400uM_Fold Change,Cr_400uM_P-value,Cr_1700uM_Fold Change,Cr_1700uM_P-value,Cu_5000uM_Fold Change,Cu_5000uM_P-value,Cu_9000uM_Fold Change,Cu_9000uM_P-value,Hg_19uM_Fold Change,Hg_19uM_P-value,Hg_47uM_Fold Change,Hg_47uM_P-value,Zn_1000uM_Fold Change,Zn_1000uM_P-value,Zn_2000uM_Fold Change,Zn_2000uM_P-value
II,YFR030W,MET10,1.26415,7.0439E-10,1.30475,1.30619E-33,11.06888,0,17.38297,0,1.70976,0,5.54302,0,2.01665,0,1.87276,0,2.73355,0,4.89711,0,1.17316,1.76907E-22,1.8476,0,1.04268,0.18455,1.06636,8.23279E-06
II,YOR348C,PUT4,1.44798,0.04108,1.44213,0.0001,1.98335,1.66026E-14,13.55964,0,2.46729,7.61137E-23,1.64138,2.00433E-07,1.48908,4.48548E-06,1.43726,0.03463,5.96181,0,6.80358,0,1.67561,7.37388E-07,3.93377,2.01849E-33,1.00942,0.94563,1.31441,0.28083
II,YKL103C,APE1,1.14828,0.00346,-1.02974,0.41001,4.22869,0,10.84932,0,-1.32516,2.26041E-21,1.05337,0.11935,1.38798,2.47182E-09,2.49324,1.47575E-37,2.2848,6.83161E-39,3.8701,0,-1.39429,8.80329E-20,1.22111,0.00079,-1.07096,0.09543,1.03903,0.38665
II,YLR108C,YLR108C,-1.32529,5.00878E-08,-1.17378,0.02479,7.02306,0,11.96572,0,-1.36457,3.32474E-06,1.42168,1.40128E-12,-1.54567,1.44632E-26,1.02346,0.60208,-1.88558,1.64851E-23,1.80198,1.66196E-39,-1.01606,0.63302,3.69899,0,-1.09796,0.0296,1.68359,0
II,YDL168W,SFA1,1.32258,1.4001E-12,1.34997,5.41644E-15,7.56199,0,9.95601,0,1.15501,6.9271E-14,1.17746,0.0012,1.09835,0.04868,1.25693,6.63955E-18,1.04297,0.61503,1.2043,0.0154,1.45374,8.4898E-22,1.6387,0,1.34058,3.55314E-16,1.3209,4.8227E-29
II,YFL030W,AGX1,-1.35618,0.00002,-1.61237,0,3.87858,0,15.83606,0,-1.63801,0,-1.52512,2.68135E-21,-1.10468,4.92813E-06,1.07536,0.0012,1.81435,7.19953E-23,3.04301,0,-1.83249,0,-1.2,1.31521E-07,-1.78796,8.09983E-22,-1.81066,4.6131E-31
II,YMR090W,YMR090W,-1.45557,0,-1.70429,0,6.37023,0,14.0947,0,-2.14272,0,-1.57921,0,-1.16465,2.23897E-08,1.27762,1.42594E-28,1.87853,0,2.3969,0,-2.22859,0,-1.09884,3.28971E-06,-1.83556,0,-1.41778,1.79783E-33
II,YGR209C,TRX2,1.05852,0.18468,1.00189,0.97452,3.10264,0,11.23964,0,-1.00373,0.92933,1.37391,5.39071E-16,1.05577,0.13254,1.32865,9.6022E-15,1.18286,1.39403E-10,1.63504,0,1.48498,6.35012E-23,3.06093,0,1.06879,0.02938,1.23142,0.00567
II,YNL160W,YGP1,1.84537,0,1.41653,1.70958E-43,8.35987,0,16.30997,0,1.71201,9.80909E-44,2.87027,0,4.33386,0,5.51711,0,9.80958,0,11.29016,0,1.76709,1.12104E-44,4.32559,0,1.18435,2.9911E-06,1.65863,0
II,YKL001C,MET14,1.73028,1.04329E-17,1.73567,2.02536E-30,15.80725,0,19.30636,0,1.57034,7.1041E-22,7.13378,0,3.30087,0,2.85908,3.1249E-43,3.17344,0,5.15872,0,-1.01342,0.87735,2.10465,1.85224E-17,1.14396,0.00677,1.42491,2.42293E-08
II,YDR253C,MET32,-1.11923,0.32693,1.0767,0.32004,9.10242,0,16.03724,0,1.53337,5.13704E-13,1.02484,0.50268,2.74518,0,2.44436,1.49679E-32,2.80465,0,3.87525,0,-1.14514,0.01102,-1.19104,0.01875,-1.22249,0.00081,-1.58347,0.00019
II,YBR116C,YBR116C,1.15374,0.00111,1.13607,0.00412,1.41029,8.25539E-17,13.23817,0,1.04121,0.48144,1.42056,6.07665E-25,-1.12327,0.03985,1.24774,0.00002,2.03259,0,3.21377,0,1.1481,0.00003,1.36525,1.59938E-15,1.29441,0.00035,1.34419,3.19796E-22
II,YPR167C,MET16,-1.06877,0.17854,-1.15393,0.00049,8.37128,0,10.46135,0,1.11473,0.00334,2.24867,0,1.47224,5.93592E-11,1.35822,2.11036E-11,1.89913,3.29903E-33,3.78092,0,-1.11918,0.15717,1.62909,3.5423E-28,-1.32108,3.38727E-10,-1.21874,8.26369E-09
II,YGL184C,STR3,1.93384,1.98167E-08,1.70395,4.51578E-33,8.27735,0,11.46351,0,2.29216,1.0271E-21,-1.50082,0,4.33961,0,3.34441,0,4.77728,0,5.64387,0,1.37862,0.0001,1.62223,5.98064E-21,1.64776,2.5852E-08,1.31195,0.00004
II,YHR176W,FMO1,1.10821,0.08611,1.09751,0.03647,13.93357,0,24.43468,0,1.15187,0.06371,1.67614,9.66156E-19,1.30922,1.86351E-07,1.42335,1.56816E-08,2.01612,0,3.87116,0,1.05291,0.18049,1.36769,2.46823E-13,1.18298,2.91148E-08,1.21994,4.50591E-07
II,YGR154C,HSP30,-1.22558,0.00643,-1.30673,6.47994E-11,5.15143,0,17.10653,0,1.15375,0.00204,1.0216,0.4337,1.75871,0,1.83501,0,1.87082,0,2.88902,0,-1.32894,3.22541E-26,-1.06038,0.3677,-1.35961,7.35284E-09,-1.3003,2.20657E-06
