"ORF","Significant"
"YDR033W",TRUE
"YPR118W",TRUE
"YPL184C",TRUE
"YDR347W",FALSE
"YBL090W",FALSE
"YHL004W",FALSE
"YPL118W",FALSE
"YNL005C",TRUE
"YKL142W",TRUE
"YDR116C",FALSE
"YNL284C",FALSE
"YNL177C",FALSE
"YMR193W",FALSE
"YMR024W",FALSE
"YBR122C",TRUE
"YPL173W",TRUE
"YDR237W",TRUE
"YGR220C",TRUE
"YMR188C",FALSE
"YNL306W",FALSE
"YDR337W",FALSE
"YGR165W",TRUE
"YBR251W",FALSE
"YMR158W",TRUE
"YBR146W",TRUE
"YOR370C",FALSE
"YKL009W",TRUE
"YBL095W",TRUE
"YML128C",TRUE
"YLR219W",TRUE
"YOR354C",FALSE
"YHR039C",FALSE
"YOL090W",FALSE
"YDR097C",FALSE
"YBR195C",TRUE
"YDR335W",TRUE
"YGR028W",FALSE
"YDR194C",TRUE
"YLR203C",TRUE
"YDR268W",TRUE
"YJL123C",TRUE
"YKR080W",TRUE
"YNL063W",TRUE
"YOR160W",TRUE
"YKL186C",FALSE
"YJL050W",TRUE
"YOR298W",FALSE
"YNR043W",FALSE
"YMR004W",TRUE
"YER042W",TRUE
"YCL033C",TRUE
"YOR326W",FALSE
"YKL129C",FALSE
"YAL029C",TRUE
"YMR109W",FALSE
"YDR493W",FALSE
"YGL122C",FALSE
"YPL190C",FALSE
"YML117W",FALSE
"YMR080C",FALSE
"YNL137C",FALSE
"YPL126W",FALSE
"YKR048C",FALSE
"YIL007C",FALSE
"YGR232W",TRUE
"YDL040C",FALSE
"YPR155C",TRUE
"YDR397C",FALSE
"YPR149W",TRUE
"YBL024W",FALSE
"YHR042W",TRUE
"YPL006W",FALSE
"YML031W",TRUE
"YMR145C",TRUE
"YML120C",TRUE
"YJL076W",FALSE
"YPL226W",TRUE
"YCL017C",FALSE
"YKL040C",FALSE
"YDR176W",FALSE
"YDL208W",TRUE
"YPR052C",FALSE
"YBR089C-A",TRUE
"YFR002W",FALSE
"YGL221C",TRUE
