"","ORF","OEgenename","metal","zscore_OEmetallomics"
"551","YCR020C-A","MAK31","As",-0.494830308
"552","YCR020W-B","HTL1","As",0.903914406
"553","YCR021C","HSP30","As",0.983164345
"554","YCR023C","YCR023C","As",-2.669577964
"555","YCR024C","SLM5","As",0.472065673
"556","YCR024C-A","PMP1","As",-0.442120576
"557","YCR025C","YCR025C","As",-1.776303867
"558","YCR026C","NPP1","As",0.040826992
"559","YCR027C","RHB1","As",0.316897093
"560","YCR028C","FEN2","As",-1.098688202
"561","YCR028C-A","RIM1","As",2.431103251
"562","YCR030C","SYP1","As",-1.476183923
"563","YCR031C","RPS14A","As",0.030936308
"564","YCR032W","BPH1","As",-0.208006126
"565","YCR033W","SNT1","As",-1.052074576
"566","YCR034W","ELO2","As",2.526522786
"567","YCR035C","RRP43","As",0.526956951
"568","YCR036W","RBK1","As",-0.318480265
"569","YCR037C","PHO87","As",1.343587291
"570","YCR038C","BUD5","As",-0.316131873
"571","YCR038W-A","YCR038W-A","As",-0.389755779
"572","YCR040W","MATALPHA1","As",0.661647015
"573","YCR041W","YCR041W","As",0.57510656
"574","YCR042C","TAF2","As",-0.266943305
"575","YCR043C","YCR043C","As",-1.323267174
"576","YCR044C","PER1","As",0.321857617
"577","YCR045C","RRT12","As",0.351207852
"578","YCR045W-A","YCR045W-A","As",0.509428167
"579","YCR046C","IMG1","As",0.007045376
"580","YCR047C","BUD23","As",-0.949443111
"581","YCR047W-A","YCR047W-A","As",0.6807596
"582","YCR048W","ARE1","As",0.472389726
"583","YCR049C","YCR049C","As",-1.11039183
"584","YCR050C","YCR050C","As",0.373780274
"585","YCR051W","YCR051W","As",0.343791151
"586","YCR052W","RSC6","As",-1.001860092
"587","YCR053W","THR4","As",0.062878597
"588","YCR054C","CTR86","As",0.017307244
"589","YCR057C","PWP2","As",-0.069149956
"590","YCR059C","YIH1","As",-0.970728782
"591","YCR060W","TAH1","As",-0.269083577
"592","YCR061W","YCR061W","As",0.009919747
"593","YCR063W","BUD31","As",-0.475113617
"594","YCR064C","YCR064C","As",-0.741800346
"595","YCR065W","HCM1","As",-0.402710362
"596","YCR067C","SED4","As",-0.686322813
"597","YCR068W","ATG15","As",-0.296203625
"598","YCR069W","CPR4","As",-0.297371078
"599","YCR071C","IMG2","As",-1.451321559
"600","YCR072C","RSA4","As",-0.591380065
"601","YCR073C","SSK22","As",2.308593828
"602","YCR073W-A","SOL2","As",-0.588688268
"603","YCR076C","FUB1","As",-0.110200163
"604","YCR079W","PTC6","As",-0.824706699
